label,text
spam,ঋণ পাবেন মাত্র 2 ঘন্টায়! কোন কাগজপত্র লাগবে না। 500000 টাকা পর্যন্ত। কল: 01602253840
ham,"সালাম, আজ শপিং মলে যাবো। সাথে আসবে?"
spam,আপনার প্রোফাইল মিলছে না। তথ্য আপডেট: 01810397194
ham,এসি সার্ভিসিং করাতে হবে। ঠাণ্ডা হচ্ছে না। ভালো থেকো।
ham,"স্যার, মিটিং এর সময় পরিবর্তন হয়েছে কি?"
ham,"শুভ সন্ধ্যা, কিরে, কেমন চলছে লাইফ? অনেকদিন তো দেখা নেই।"
spam,ফেসবুক একাউন্ট সীমিত করা হয়েছে। আনলক: bit.ly/47765
ham,"রাহিম, ভাই, আজকের পার্টিতে আসবি তো? সবাই আসছে।"
spam,দিনে 5000 টাকা আয় সম্ভব। শুরু করুন: bit.ly/17895
ham,আজ সন্ধ্যায় বাসায় থাকলে একটু আসবো। ঠিক আছে?
spam,কুরিয়ার যোগাযোগ করতে পারেনি। যোগাযোগ: 01875612722
ham,"আপনি 71417 থেকে 72.00 টাকা পেয়েছেন। ফি 0.00 টাকা। ব্যালেন্স 11,8529.48 টাকা। TrxID C871093075 at 19/11/84930 12:00"
spam,আজ কনফার্ম না করলে বাতিল: bit.ly/67447
ham,নতুন জামা কিনতে হবে। কোন শপ ভালো?
spam,একাউন্ট স্থিতি: অপেক্ষমাণ। সক্রিয় করুন: bit.ly/56958
spam,ফ্রি উপহার জিতেছেন আপনি। দাবি করুন: bit.ly/78605
ham,"প্রিয় মহোদয়, আপনার SMS Alert মোবাইল নম্বর 59991 থেকে 36256 এ পরিবর্তন করা হয়েছে জনতা ব্যাংক পিএলসি তে। এখন থেকে নতুন নম্বরে SMS পাবেন। ধন্যবাদ।"
ham,"ওহে, ভাইয়া, বাসায় কেউ আছে? আমি দরজায় দাঁড়িয়ে আছি।"
ham,আপনার JBPLC একাউন্ট *3782 এ বরিশাল কর্পোরেট থেকে 86934.00 টাকা জমা হয়েছে at 06 Aug 25 13:39:33 ব্যালেন্স 93551 টাকা।
ham,"লিজা, স্বাধীনতা দিবসের শুভেচ্ছা! জয় বাংলা।"
ham,"আপনি রেমিট্যান্স পেয়েছেন। মোট: 12,75822.50 টাকা সরকারি প্রণোদনা: 87376.50 টাকা TrxID B179908406 at 22/11/28948 09:33."
spam,আজই টাকা আপনার একাউন্টে। 200000 টাকা নিন: bit.ly/39662
spam,হোয়াটসঅ্যাপ নোটিস। দ্রুত পদক্ষেপ নিন: bit.ly/75318
ham,"বকুল, টাকাটা পেয়েছি। ধন্যবাদ ভাই।"
ham,"স্যার, মিটিং এর সময় পরিবর্তন হয়েছে কি? - রানা"
spam,এতিম শিশুদের পাশে দাঁড়ান। 200000 টাকা দান করুন: bit.ly/16661
ham,"৫,27669 ডলার এনডোর্স করে উপভোগ করুন ৫,17634 পর্যন্ত বোনাস এক্স আর পয়েন্টস ! বিস্তা: www.cbl.fyi/ec25"
spam,আজ রাত ১২টার মধ্যে ভেরিফাই করুন। কল: 01528327152
ham,আজকের ক্লাস বাতিল হয়েছে? বাসায় আছো? টাটা।
ham,"বিপুল, গ্যাস সিলিন্ডার শেষ। নতুন অর্ডার দিয়েছি।"
spam,আপনার কর ফেরত আসছে। 25000 টাকা। একাউন্ট আপডেট: bit.ly/68764
ham,"আপনি 80780 থেকে 1,85104.00 টাকা পেয়েছেন। ফি 0.00 টাকা। ব্যালেন্স 8,7818.48 টাকা। TrxID C956152571 at 24/11/76709 18:21"
ham,সেভিংস একাউন্ট খুলবো। কি কি লাগবে? - তানিয়া
spam,"প্রিয় রবি গ্রাহক, আপনি পাচ্ছেন 15GB ফ্রি। অ্যাক্টিভ করতে কল দিন 01639709635"
ham,আজকের অফার! ২জিবি ৪৫টাকা ৭দিন।ডায়াল *63306*47557# বা https://mygp.li/Rt
ham,"রাহিম, ল্যাপটপ চার্জ শেষ। পাওয়ার ব্যাংক আছে?"
spam,তথ্য যাচাই না করলে একাউন্ট বন্ধ হয়ে যাবে। লিংক: bit.ly/47464
ham,Thanks for Choosing 'BAY' VN: 83997-78601-86-11395 Paid: 55691 https://sales.bayerp.com/online-invoice/69414/55051-50563-86-76440 C.Care: +25164
ham,কল: 96478
spam,আপনার প্রোফাইল মিলছে না। তথ্য আপডেট: 01852068091
ham,TRUST MONEY Txn 50.00 টাকা DEBIT AC No 75230***50822 13/12/69754 04:04 ব্যালেন্স 3885.14 টাকা Email notification পেতে - t.tblbd.com/email
spam,ইন্সট্যান্ট লোন সার্ভিস। 100000 টাকা পাবেন 2 ঘন্টায়। আবেদন করুন: 01589912032
ham,আজ মাছ রান্না করবে? বাজার করে এনেছি। - বাবুল
ham,"বস, ক্লায়েন্ট মিটিং ভালো হয়েছে। সবাই সন্তুষ্ট। টাটা।"
ham,শুধুমাত্র বিকাশ লাইভচ্যাট স্ক্রিনে সার্ভিস রিকোয়েস্ট নাম্বার 38532 লিখুন। কল বা SMS এর মাধ্যমে নাম্বারটি কারো সাথে শেয়ার করবেন না।
spam,বিদেশে চাকরির সুযোগ। স্যালারি 100000 টাকা। ভিসা গ্যারান্টি। যোগাযোগ: 01697836367
ham,"নিপা, ভাই, আজ ফুটবল খেলা দেখবি? বাসায় আয়।"
spam,ট্যুর প্যাকেজ 70% ছাড়ে। রংপুর ভ্রমণ। বুক করুন: bit.ly/70079
ham,বৃষ্টি হচ্ছে। ছাতা নিয়ে বের হবে। - করিম
ham,"কিরে, কেমন চলছে লাইফ? অনেকদিন তো দেখা নেই। টাটা।"
spam,কোনো ইনকাম প্রুফ ছাড়াই ক্রেডিট কার্ড। আজই আবেদন: bit.ly/70914
spam,foodpanda-তে 10 ও ৬ ডিসেম্বর 'AMEX200' ব্যবহার করে উপভোগ করুন ২০০ টাকা পর্যন্ত সাশ্রয়। শর্ত প্রযোজ্য। বিস্তারিত bit.ly/84748
spam,ডেলিভারি চার্জ বকেয়া। পরিশোধ করুন: bit.ly/95277
spam,দ্রুত ওজন কমান। চুল পড়া বন্ধ ব্যবহার করুন। গ্যারান্টি সহ। মূল্য 25000 টাকা। 01621819471
spam,আপনার কর ফেরত আসছে। 100000 টাকা। একাউন্ট আপডেট: bit.ly/46605
spam,আপনার মতামত দিন। পাবেন 50000 টাকা পুরস্কার। bit.ly/18734
ham,"হাই, আজ অনেক গরম। এসি চালাতে হবে।"
spam,একাউন্ট পুনরুদ্ধারের সুযোগ: bit.ly/41024
spam,পরিচয় নিশ্চিত করতে লিংকে যান: bit.ly/29126
spam,কল ও ইন্টারনেট বন্ধ হওয়ার ঝুঁকি। ভেরিফাই করুন: bit.ly/15789
spam,আপনি প্রি-অ্যাপ্রুভড লোন পেয়েছেন। 5000000 টাকা নিন: bit.ly/27085
ham,"শফিক, বিজয় দিবসের শুভেচ্ছা। জয় বাংলা!"
ham,"শিমুল, ডাটা প্যাক শেষ হয়ে গেছে। রিচার্জ করো।"
ham,নাস্তা করেছো? না করলে করে নাও। - রিনা
spam,টিভি এর দাম কমেছে 15%। ক্যাশ অন ডেলিভারি। কল করুন: 01940595305
ham,"আপনার OTP হলো 15565। এটি ৩ মিনিট বৈধ থাকবে। কখনো OTP, PIN, CVV, Expiry Date এবং Password কারো সাথে শেয়ার করবেন না। TBL-Digital Banking."
ham,ট্রেন টিকেট কিনেছো? আমার একটা লাগবে। - তানিয়া
spam,ত্বক ফর্সা ট্যাবলেট মাত্র 2500 টাকা। ১০০% কার্যকর। হোম ডেলিভারি। অর্ডার: 01942039855
ham,দরজায় কে? একটু দেখে এসো। - বেলি
ham,সূখীতে ২০% ক্যাশব্যাক অফার !! সূখীর যে কোনো সাভিস বিক্ষে পেতে করবেন প্রতিদিন 78120 টাকা পর্ন্ত ক্যাশব্যাক। (সর্ব প্রথমে) https://shukhee.com/
spam,আপনার নাম বিজয়ী তালিকায়। গোল্ড কয়েন পাবেন! লিংক: bit.ly/75566
spam,25% ছাড়ে ক্যামেরা কিনুন। লিমিটেড স্টক। গ্রামীণফোন অর্ডার করুন: 01500990147
ham,আজকের ক্লাস বাতিল হয়েছে? বাসায় আছো? - রুবেল
spam,শেয়ার বাজারে বিনিয়োগ করুন। 60% রিটার্ন গ্যারান্টি। কল: 01956149780
ham,"প্রিয় মহোদয়, আপনার JBPLC A/C **62908 এ 86869.66 টাকা (সুদ) জমা হয়েছে on 10-SEP-64891. C/B is BDT0. eJanata app ব্যবহার করুন i-banking এর জন্য। ধন্যবাদ"
ham,নাস্তা করেছো? না করলে করে নাও। টাটা।
spam,আজ শেষ ডেলিভারি চেষ্টা। ঠিকানা দিন: 01838158815
ham,"বিল সফলভাবে পরিশোধিত হয়েছে। Biller: WZPDCL MMYYYY/Contact: 22163 A/C: 4644 Amount: Tk 1,75863.00 Fee: Tk 0.00 TrxID: BKN7HQ5RTN at 23/11/65004"
spam,আপনার আমেক্স ক্রেডিট কার্ড দিয়ে 10-15 ডিসেম্বর 2026-এর মধ্যে নূনতম 2টি কেনাকাটা করে জিতুন 25000 বোনাস মেম্বারশিপ রিওয়ার্ডস পয়েন্টস! শর্ত প্রযোজ্য। বিস্তারিত: bit.ly/18435
spam,ফ্রি রেজিস্ট্রেশন আজই। আয় শুরু করুন: bit.ly/37244
ham,"জসিম, গরমে ঘুম আসছে না। ফ্যান চালু করো।"
ham,"দোস্ত, আজ চা খেতে যাবো। তুই আসবি? - মিমি"
ham,"মিমি, আজ হেঁটে যাবো। তেমন দূর না।"
spam,কোনো ইনকাম প্রুফ ছাড়াই ক্রেডিট কার্ড। আজই আবেদন: bit.ly/29511
ham,"হাই, আজ আবহাওয়া খুব ভালো। ঘুরতে যাবো।"
ham,"শিউলি, পেট্রোল ভরাতে হবে। ট্যাংক প্রায় খালি।"
spam,আপনার প্রোফাইল রিপোর্ট হয়েছে। যাচাই করুন: bit.ly/36118
spam,আপনার কর ফেরত আসছে। 500000 টাকা। একাউন্ট আপডেট: bit.ly/31359
ham,"""অর্থনৈতিক শুমারি 58572 এর আওতায় দেশের সকল খানা ও প্রতিষ্ঠান তালিকাভুক্ত করা হচ্ছ। জাতীয় স্বার্থপূর্ণ এ কার্যক্রমে আপনার তথ্য দিয়ে সহযোগিতা করুন"" - বাংলাদেশ পরিসংখ্যান ব্যুরো।"
